,date,demand
1456,2018-12-27,129749.14
1457,2018-12-28,133831.37499999994
1458,2018-12-29,108290.11000000004
1459,2018-12-30,99613.86499999998
1460,2018-12-31,103381.915
1461,2019-01-01,98933.06
1462,2019-01-02,106470.67500000002
1463,2019-01-03,118789.605
1464,2019-01-04,133288.46
1465,2019-01-05,97262.79
1466,2019-01-06,93606.21500000004
1467,2019-01-07,109874.89999999997
1468,2019-01-08,113446.09999999998
1469,2019-01-09,105483.435
1470,2019-01-10,108078.695
1471,2019-01-11,119728.635
1472,2019-01-12,108628.96000000002
1473,2019-01-13,101853.23999999998
1474,2019-01-14,147070.535
1475,2019-01-15,152496.24500000005
1476,2019-01-16,136971.75500000006
1477,2019-01-17,145211.49000000002
1478,2019-01-18,134898.21000000002
1479,2019-01-19,101692.44999999998
1480,2019-01-20,102283.13
1481,2019-01-21,130517.97000000002
1482,2019-01-22,141444.78000000006
1483,2019-01-23,125501.15
1484,2019-01-24,155891.345
1485,2019-01-25,168894.845
1486,2019-01-26,114818.665
1487,2019-01-27,99801.575
1488,2019-01-28,112374.63
1489,2019-01-29,138455.45500000002
1490,2019-01-30,142113.375
1491,2019-01-31,110277.21
1492,2019-02-01,104422.79
1493,2019-02-02,124749.065
1494,2019-02-03,133287.58500000002
1495,2019-02-04,119168.96
1496,2019-02-05,119702.045
1497,2019-02-06,140497.81500000006
1498,2019-02-07,141593.545
1499,2019-02-08,117327.49500000002
1500,2019-02-09,95668.77000000003
1501,2019-02-10,94786.72
1502,2019-02-11,114085.64499999996
1503,2019-02-12,107697.20499999996
1504,2019-02-13,106692.84500000004
1505,2019-02-14,107655.08
1506,2019-02-15,113910.46
1507,2019-02-16,106467.235
1508,2019-02-17,108470.92500000002
1509,2019-02-18,116995.06500000006
1510,2019-02-19,110531.6
1511,2019-02-20,108972.30499999998
1512,2019-02-21,110235.33500000002
1513,2019-02-22,109901.76
1514,2019-02-23,99890.25000000004
1515,2019-02-24,106877.865
1516,2019-02-25,133476.60500000007
1517,2019-02-26,123114.11499999996
1518,2019-02-27,125272.27
1519,2019-02-28,150472.25499999998
1520,2019-03-01,163682.03999999998
1521,2019-03-02,146265.115
1522,2019-03-03,138597.69000000006
1523,2019-03-04,136528.80999999994
1524,2019-03-05,126073.52999999998
1525,2019-03-06,108723.615
1526,2019-03-07,114519.865
1527,2019-03-08,117281.20000000006
1528,2019-03-09,106854.93499999998
1529,2019-03-10,101994.055
1530,2019-03-11,103219.08000000002
1531,2019-03-12,110086.7
1532,2019-03-13,114740.51999999996
1533,2019-03-14,112785.78
1534,2019-03-15,111179.125
1535,2019-03-16,105119.47999999998
1536,2019-03-17,105669.04499999998
1537,2019-03-18,121954.385
1538,2019-03-19,123290.83499999998
1539,2019-03-20,123994.30000000002
1540,2019-03-21,124181.40500000006
1541,2019-03-22,128305.64
1542,2019-03-23,109147.65
1543,2019-03-24,104226.83000000005
1544,2019-03-25,107583.935
1545,2019-03-26,108840.18
1546,2019-03-27,113307.595
1547,2019-03-28,113923.16
1548,2019-03-29,110768.285
1549,2019-03-30,101262.655
1550,2019-03-31,101119.835
1551,2019-04-01,116817.42999999992
1552,2019-04-02,114927.20500000002
1553,2019-04-03,115188.76
1554,2019-04-04,113763.835
1555,2019-04-05,111484.73
1556,2019-04-06,102229.64500000002
1557,2019-04-07,93590.42500000002
1558,2019-04-08,108543.635
1559,2019-04-09,111999.04000000002
1560,2019-04-10,120858.98000000004
1561,2019-04-11,116890.61
1562,2019-04-12,114848.76999999996
1563,2019-04-13,105963.555
1564,2019-04-14,98680.0
1565,2019-04-15,114194.95500000006
1566,2019-04-16,115392.875
1567,2019-04-17,117281.13
1568,2019-04-18,111360.06500000006
